target,batch,variant_id,pH_pair,protocol_note,available_metrics,allowed_usage,source_file
1E62,R2_md_com8_vs_com18_ph_verification,com18,single_pH_5.0,legacy_md_json_or_summary_not_used_for_scoring,contacts:3|pairwise:20|rmsf:8,mechanism_context_only,experiments/1E62/R2/results/md_com8_vs_com18_ph_verification/com18/pH_5.0/analysis/summary.json
1E62,R2_md_com8_vs_com18_ph_verification,com18,single_pH_7.4,legacy_md_json_or_summary_not_used_for_scoring,contacts:3|pairwise:20|rmsf:8,mechanism_context_only,experiments/1E62/R2/results/md_com8_vs_com18_ph_verification/com18/pH_7.4/analysis/summary.json
1E62,R2_md_com8_vs_com18_ph_verification,com18_K45Q,single_pH_5.0,legacy_md_json_or_summary_not_used_for_scoring,contacts:3|pairwise:20|rmsf:8,mechanism_context_only,experiments/1E62/R2/results/md_com8_vs_com18_ph_verification/com18_K45Q/pH_5.0/analysis/summary.json
1E62,R2_md_com8_vs_com18_ph_verification,com18_K45Q,single_pH_7.4,legacy_md_json_or_summary_not_used_for_scoring,contacts:3|pairwise:20|rmsf:8,mechanism_context_only,experiments/1E62/R2/results/md_com8_vs_com18_ph_verification/com18_K45Q/pH_7.4/analysis/summary.json
1E62,R2_md_com8_vs_com18_ph_verification,com8,single_pH_5.0,legacy_md_json_or_summary_not_used_for_scoring,contacts:3|pairwise:20|rmsf:8,mechanism_context_only,experiments/1E62/R2/results/md_com8_vs_com18_ph_verification/com8/pH_5.0/analysis/summary.json
1E62,R2_md_com8_vs_com18_ph_verification,com8,single_pH_7.4,legacy_md_json_or_summary_not_used_for_scoring,contacts:3|pairwise:20|rmsf:8,mechanism_context_only,experiments/1E62/R2/results/md_com8_vs_com18_ph_verification/com8/pH_7.4/analysis/summary.json
1E62,R2_md_com8_vs_com18_ph_verification,com8_Q45K,single_pH_5.0,legacy_md_json_or_summary_not_used_for_scoring,contacts:3|pairwise:20|rmsf:8,mechanism_context_only,experiments/1E62/R2/results/md_com8_vs_com18_ph_verification/com8_Q45K/pH_5.0/analysis/summary.json
1E62,R2_md_com8_vs_com18_ph_verification,com8_Q45K,single_pH_7.4,legacy_md_json_or_summary_not_used_for_scoring,contacts:3|pairwise:20|rmsf:8,mechanism_context_only,experiments/1E62/R2/results/md_com8_vs_com18_ph_verification/com8_Q45K/pH_7.4/analysis/summary.json
1E62,R2_md_com8_vs_com18_ph_verification,md_verification_report,7.4|5.0|5|7|6,legacy_md_report_not_used_for_scoring,report_markdown,context_only,experiments/1E62/R2/results/md_com8_vs_com18_ph_verification/md_verification_report.md
1E62,R3_md_ph_comparison,R3-T1,single_pH_6.0,legacy_md_json_or_summary_not_used_for_scoring,contacts:3|hbond:3|pairwise:25|rmsd:9|rmsf:8|sasa:1,mechanism_context_only,experiments/1E62/R3/md/R3-T1/pH_6.0/analysis/summary.json
1E62,R3_md_ph_comparison,R3-T1,single_pH_7.4,legacy_md_json_or_summary_not_used_for_scoring,contacts:3|hbond:3|pairwise:25|rmsd:9|rmsf:8|sasa:1,mechanism_context_only,experiments/1E62/R3/md/R3-T1/pH_7.4/analysis/summary.json
1E62,R3_md_ph_comparison,R3-T1,7.4_vs_6.0,legacy_md_json_or_summary_not_used_for_scoring,base_summary(contacts:3|hbond:3|pairwise:25|rmsd:9|rmsf:8|sasa:1);target_summary(contacts:3|hbond:3|pairwise:25|rmsd:9|rmsf:8|sasa:1);deltas(delta:4),mechanism_context_only,experiments/1E62/R3/md/R3-T1/ph_comparison.json
